,gene,product
2628,HOXB1,Homeobox B1
2629,HOXB13,Homeobox B13
2630,HOXC13,Homeobox C13
2631,HOXD10,Homeobox D10
2632,HOXD13,Homeobox D13
2633,HP,Haptoglobin
2634,HPCA,Hippocalcin
2635,HPDL,4-hydroxyphenylpyruvate dioxygenase like
2636,HPGD,15-hydroxyprostaglandin dehydrogenase
2637,HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
2638,HPS3,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
2639,HPS4,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
2640,HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2
2641,HPS6,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3
2642,HPSE2,Heparanase 2 (inactive)
2643,HR,HR lysine demethylase and nuclear receptor corepressor
2644,HRAS,"HRas proto-oncogene, GTPase"
2645,HRG,Histidine rich glycoprotein
2646,HRURF,HR upstream open reading frame
2647,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1
2648,HS3ST6,Heparan sulfate-glucosamine 3-sulfotransferase 6
2649,HS6ST1,Heparan sulfate 6-O-sulfotransferase 1
2650,HS6ST2,Heparan sulfate 6-O-sulfotransferase 2
2651,HSCB,HscB mitochondrial iron-sulfur cluster cochaperone
2652,HSD11B2,Hydroxysteroid 11-beta dehydrogenase 2
2653,HSD17B3,Hydroxysteroid 17-beta dehydrogenase 3
2654,HSD17B4,Hydroxysteroid 17-beta dehydrogenase 4
2655,HSD3B7,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"
2656,HSF2BP,Heat shock transcription factor 2 binding protein
2657,HSF4,Heat shock transcription factor 4
2658,HSPA1A,Heat shock protein family A (Hsp70) member 1A
2659,HSPA5,Heat shock protein family A (Hsp70) member 5
2660,HSPA9,Heat shock protein family A (Hsp70) member 9
2661,HSPB1,Heat shock protein family B (small) member 1
2662,HSPB3,Heat shock protein family B (small) member 3
2663,HSPB8,Heat shock protein family B (small) member 8
2664,HSPBAP1,HSPB1 associated protein 1
2665,HSPD1,Heat shock protein family D (Hsp60) member 1
2666,HSPG2,Heparan sulfate proteoglycan 2
2667,HTRA1,HtrA serine peptidase 1
2668,HTRA2,HtrA serine peptidase 2
2669,HTT,Huntingtin
2670,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"
2671,HYAL1,Hyaluronidase 1
2672,HYCC1,Hyccin PI4KA lipid kinase complex subunit 1
2673,HYDIN,HYDIN axonemal central pair apparatus protein
2674,HYLS1,HYLS1 centriolar and ciliogenesis associated
2675,HYOU1,Hypoxia up-regulated 1
2676,IARS1,Isoleucyl-tRNA synthetase 1
2677,IARS2,"Isoleucyl-tRNA synthetase 2, mitochondrial"
2678,IBA57,Iron-sulfur cluster assembly factor IBA57
2679,ICOS,Inducible T cell costimulator
2680,IDH3B,Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
2681,IDS,Iduronate 2-sulfatase
2682,IDUA,Alpha-L-iduronidase
2683,IER3IP1,Immediate early response 3 interacting protein 1
2684,IFIH1,Interferon induced with helicase C domain 1
2685,IFITM5,Interferon induced transmembrane protein 5
2686,IFT122,Intraflagellar transport 122
2687,IFT140,Intraflagellar transport 140
2688,IFT172,Intraflagellar transport 172
2689,IFT27,Intraflagellar transport 27
2690,IFT43,Intraflagellar transport 43
2691,IFT52,Intraflagellar transport 52
2692,IFT57,Intraflagellar transport 57
2693,IFT74,Intraflagellar transport 74
2694,IFT80,Intraflagellar transport 80
2695,IFT81,Intraflagellar transport 81
2696,IGBP1,Immunoglobulin binding protein 1
2697,IGF1,Insulin like growth factor 1
2698,IGF2,Insulin like growth factor 2
2699,IGFALS,Insulin like growth factor binding protein acid labile subunit
2700,IGFBP7,Insulin like growth factor binding protein 7
2701,IGHA1,Immunoglobulin heavy constant alpha 1
2702,IGHM,Immunoglobulin heavy constant mu
2703,IGHMBP2,Immunoglobulin mu DNA binding protein 2
2704,IGLL1,Immunoglobulin lambda like polypeptide 1
2705,IGSF1,Immunoglobulin superfamily member 1
2706,IGSF10,Immunoglobulin superfamily member 10
2707,IGSF3,Immunoglobulin superfamily member 3
2708,IHH,Indian hedgehog signaling molecule
2709,IKBKG,Inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
2710,IKZF1,IKAROS family zinc finger 1
2711,IKZF3,IKAROS family zinc finger 3
2712,IKZF5,IKAROS family zinc finger 5
2713,IL10RA,Interleukin 10 receptor subunit alpha
2714,IL10RB,Interleukin 10 receptor subunit beta
2715,IL12RB1,Interleukin 12 receptor subunit beta 1
2716,IL17RA,Interleukin 17 receptor A
2717,IL17RC,Interleukin 17 receptor C
2718,IL17RD,Interleukin 17 receptor D
2719,IL18BP,Interleukin 18 binding protein
2720,IL1RAPL1,Interleukin 1 receptor accessory protein like 1
2721,IL1RN,Interleukin 1 receptor antagonist
2722,IL2,Interleukin 2
2723,IL21,Interleukin 21
2724,IL21R,Interleukin 21 receptor
2725,IL23R,Interleukin 23 receptor
2726,IL31RA,Interleukin 31 receptor A
2727,IL36RN,Interleukin 36 receptor antagonist
2728,IL37,Interleukin 37
2729,IL6ST,Interleukin 6 cytokine family signal transducer
2730,IL7,Interleukin 7
2731,IL7R,Interleukin 7 receptor
2732,ILDR1,Immunoglobulin like domain containing receptor 1
2733,IMMP2L,Inner mitochondrial membrane peptidase subunit 2
2734,IMPA1,Inositol monophosphatase 1
2735,IMPG1,Interphotoreceptor matrix proteoglycan 1
2736,IMPG2,Interphotoreceptor matrix proteoglycan 2
2737,INAVA,Innate immunity activator
2738,INF2,Inverted formin 2
2739,ING1,Inhibitor of growth family member 1
2740,ING3,Inhibitor of growth family member 3
2741,INPP5E,Inositol polyphosphate-5-phosphatase E
2742,INPP5K,Inositol polyphosphate-5-phosphatase K
2743,INPPL1,Inositol polyphosphate phosphatase like 1
2744,INS,Insulin
2745,INSL3,Insulin like 3
2746,INTS1,Integrator complex subunit 1
2747,INTS8,Integrator complex subunit 8
2748,INTU,Inturned planar cell polarity protein
2749,INVS,Inversin
2750,IPO8,Importin 8
2751,IQCB1,IQ motif containing B1
2752,IQCE,IQ motif containing E
2753,IQSEC1,IQ motif and Sec7 domain ArfGEF 1
2754,IQSEC2,IQ motif and Sec7 domain ArfGEF 2
2755,IRAK3,Interleukin 1 receptor associated kinase 3
2756,IRAK4,Interleukin 1 receptor associated kinase 4
2757,IREB2,Iron responsive element binding protein 2
2758,IRF1,Interferon regulatory factor 1
2759,IRF2BP2,Interferon regulatory factor 2 binding protein 2
2760,IRF2BPL,Interferon regulatory factor 2 binding protein like
2761,IRF3,Interferon regulatory factor 3
2762,IRF4,Interferon regulatory factor 4
2763,IRF5,Interferon regulatory factor 5
2764,IRF6,Interferon regulatory factor 6
2765,IRF7,Interferon regulatory factor 7
2766,IRF8,Interferon regulatory factor 8
2767,IRF9,Interferon regulatory factor 9
2768,IRGM,Immunity related GTPase M
2769,IRS1,Insulin receptor substrate 1
2770,IRS4,Insulin receptor substrate 4
2771,IRX5,Iroquois homeobox 5
2772,ISCA1,Iron-sulfur cluster assembly 1
2773,ISCA2,Iron-sulfur cluster assembly 2
2774,ISCU,Iron-sulfur cluster assembly enzyme
2775,ISG15,ISG15 ubiquitin like modifier
2776,ITCH,Itchy E3 ubiquitin protein ligase
2777,ITGA3,Integrin subunit alpha 3
2778,ITGA6,Integrin subunit alpha 6
2779,ITGA7,Integrin subunit alpha 7
2780,ITGA8,Integrin subunit alpha 8
2781,ITGAM,Integrin subunit alpha M
2782,ITGB2,Integrin subunit beta 2
2783,ITGB4,Integrin subunit beta 4
2784,ITGB6,Integrin subunit beta 6
2785,ITK,IL2 inducible T cell kinase
2786,ITM2B,Integral membrane protein 2B
2787,ITPA,Inosine triphosphatase
2788,ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1"
2789,ITPR2,"Inositol 1,4,5-trisphosphate receptor type 2"
2790,IVD,Isovaleryl-CoA dehydrogenase
2791,IVNS1ABP,Influenza virus NS1A binding protein
2792,IYD,Iodotyrosine deiodinase
2793,JAG1,Jagged canonical Notch ligand 1
2794,JAG2,Jagged canonical Notch ligand 2
2795,JAGN1,Jagunal homolog 1
2796,JAM2,Junctional adhesion molecule 2
2797,JAM3,Junctional adhesion molecule 3
2798,JAZF1,JAZF zinc finger 1
2799,JPH2,Junctophilin 2
2800,JPH3,Junctophilin 3
2801,JUP,Junction plakoglobin
2802,KANK1,KN motif and ankyrin repeat domains 1
2803,KANK2,KN motif and ankyrin repeat domains 2
2804,KANSL1,KAT8 regulatory NSL complex subunit 1
2805,KARS1,Lysyl-tRNA synthetase 1
2806,KAT2B,Lysine acetyltransferase 2B
2807,KAT5,Lysine acetyltransferase 5
2808,KAT6A,Lysine acetyltransferase 6A
2809,KAT6B,Lysine acetyltransferase 6B
2810,KAT8,Lysine acetyltransferase 8
2811,KATNB1,Katanin regulatory subunit B1
2812,KATNIP,Katanin interacting protein
2813,KBTBD13,Kelch repeat and BTB domain containing 13
2814,KCNE1,Potassium voltage-gated channel subfamily E regulatory subunit 1
2815,KCNE2,Potassium voltage-gated channel subfamily E regulatory subunit 2
2816,KCNE3,Potassium voltage-gated channel subfamily E regulatory subunit 3
2817,KCNE5,Potassium voltage-gated channel subfamily E regulatory subunit 5
2818,KCNH1,Potassium voltage-gated channel subfamily H member 1
2819,KCNJ13,Potassium inwardly rectifying channel subfamily J member 13
2820,KCNJ16,Potassium inwardly rectifying channel subfamily J member 16
2821,KCNJ18,Potassium inwardly rectifying channel subfamily J member 18
2822,KCNJ5,Potassium inwardly rectifying channel subfamily J member 5
2823,KCNJ6,Potassium inwardly rectifying channel subfamily J member 6
2824,KCNK18,Potassium two pore domain channel subfamily K member 18
2825,KCNK4,Potassium two pore domain channel subfamily K member 4
2826,KCNQ2,Potassium voltage-gated channel subfamily Q member 2
2827,KCNQ3,Potassium voltage-gated channel subfamily Q member 3
2828,KCNQ4,Potassium voltage-gated channel subfamily Q member 4
2829,KCNQ5,Potassium voltage-gated channel subfamily Q member 5
2830,KCNT1,Potassium sodium-activated channel subfamily T member 1
2831,KCNT2,Potassium sodium-activated channel subfamily T member 2
2832,KCNV2,Potassium voltage-gated channel modifier subfamily V member 2
2833,KCTD1,Potassium channel tetramerization domain containing 1
2834,KCTD13,Potassium channel tetramerization domain containing 13
2835,KCTD17,Potassium channel tetramerization domain containing 17
2836,KCTD7,Potassium channel tetramerization domain containing 7
2837,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
2838,KDF1,Keratinocyte differentiation factor 1
2839,KDM1A,Lysine demethylase 1A
2840,KDM3B,Lysine demethylase 3B
2841,KDM4B,Lysine demethylase 4B
2842,KDM5A,Lysine demethylase 5A
2843,KDM5B,Lysine demethylase 5B
2844,KDM5C,Lysine demethylase 5C
2845,KDM6A,Lysine demethylase 6A
2846,KDM6B,Lysine demethylase 6B
2847,KDSR,3-ketodihydrosphingosine reductase
2848,KERA,Keratocan
2849,KHDC3L,"KH domain containing 3 like, subcortical maternal complex member"
2850,KHK,Ketohexokinase
2851,KIAA0319,KIAA0319
2852,KIAA0586,KIAA0586
2853,KIAA0753,KIAA0753
2854,KIAA0825,KIAA0825
2855,KIAA1549,KIAA1549
2856,KIDINS220,Kinase D interacting substrate 220
2857,KIF11,Kinesin family member 11
2858,KIF14,Kinesin family member 14
2859,KIF15,Kinesin family member 15
2860,KIF1A,Kinesin family member 1A
2861,KIF1B,Kinesin family member 1B
2862,KIF1C,Kinesin family member 1C
2863,KIF20A,Kinesin family member 20A
2864,KIF21A,Kinesin family member 21A
2865,KIF22,Kinesin family member 22
2866,KIF23,Kinesin family member 23
2867,KIF2A,Kinesin family member 2A
2868,KIF3B,Kinesin family member 3B
2869,KIF4A,Kinesin family member 4A
2870,KIF5A,Kinesin family member 5A
2871,KIF5C,Kinesin family member 5C
2872,KIF7,Kinesin family member 7
2873,KIFBP,Kinesin family binding protein
2874,KIRREL1,Kirre like nephrin family adhesion molecule 1
2875,KIRREL3,Kirre like nephrin family adhesion molecule 3
2876,KISS1,KiSS-1 metastasis suppressor
2877,KISS1R,KISS1 receptor
2878,KITLG,KIT ligand
2879,KIZ,Kizuna centrosomal protein
2880,KL,Klotho
2881,KLC2,Kinesin light chain 2
2882,KLF1,KLF transcription factor 1
2883,KLF11,KLF transcription factor 11
2884,KLF15,KLF transcription factor 15
2885,KLF6,KLF transcription factor 6
2886,KLHDC8B,Kelch domain containing 8B
2887,KLHL10,Kelch like family member 10
2888,KLHL15,Kelch like family member 15
2889,KLHL22,Kelch like family member 22
2890,KLHL24,Kelch like family member 24
2891,KLHL3,Kelch like family member 3
2892,KLHL40,Kelch like family member 40
2893,KLHL41,Kelch like family member 41
2894,KLHL7,Kelch like family member 7
2895,KLK4,Kallikrein related peptidase 4
2896,KLLN,"Killin, p53 regulated DNA replication inhibitor"
2897,KMT2A,Lysine methyltransferase 2A
2898,KMT2B,Lysine methyltransferase 2B
2899,KMT2C,Lysine methyltransferase 2C
2900,KMT2D,Lysine methyltransferase 2D
2901,KMT2E,Lysine methyltransferase 2E (inactive)
2902,KMT5B,Lysine methyltransferase 5B
2903,KNG1,Kininogen 1
2904,KNL1,Kinetochore scaffold 1
2905,KNSTRN,Kinetochore localized astrin (SPAG5) binding protein
2906,KPTN,"Kaptin, actin binding protein"
2907,KREMEN1,Kringle containing transmembrane protein 1
2908,KRIT1,KRIT1 ankyrin repeat containing
2909,KRT1,Keratin 1
2910,KRT10,Keratin 10
2911,KRT13,Keratin 13
2912,KRT14,Keratin 14
2913,KRT16,Keratin 16
2914,KRT17,Keratin 17
2915,KRT18,Keratin 18
2916,KRT25,Keratin 25
2917,KRT3,Keratin 3
2918,KRT4,Keratin 4
2919,KRT5,Keratin 5
2920,KRT6A,Keratin 6A
2921,KRT6B,Keratin 6B
2922,KRT6C,Keratin 6C
2923,KRT71,Keratin 71
2924,KRT74,Keratin 74
2925,KRT75,Keratin 75
2926,KRT8,Keratin 8
2927,KRT81,Keratin 81
2928,KRT83,Keratin 83
2929,KRT85,Keratin 85
2930,KRT86,Keratin 86
2931,KRT9,Keratin 9
2932,KY,Kyphoscoliosis peptidase
2933,KYNU,Kynureninase
2934,L1CAM,L1 cell adhesion molecule
2935,L2HGDH,L-2-hydroxyglutarate dehydrogenase
2936,LACC1,Laccase domain containing 1
2937,LAGE3,L antigen family member 3
2938,LAMA1,Laminin subunit alpha 1
2939,LAMA2,Laminin subunit alpha 2
2940,LAMA3,Laminin subunit alpha 3
2941,LAMA4,Laminin subunit alpha 4
2942,LAMB1,Laminin subunit beta 1
2943,LAMB2,Laminin subunit beta 2
2944,LAMB3,Laminin subunit beta 3
2945,LAMC2,Laminin subunit gamma 2
2946,LAMC3,Laminin subunit gamma 3
2947,LAMP2,Lysosomal associated membrane protein 2
2948,LAMTOR2,"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"
2949,LARGE1,LARGE xylosyl- and glucuronyltransferase 1
2950,LARP7,"La ribonucleoprotein 7, transcriptional regulator"
2951,LARS1,Leucyl-tRNA synthetase 1
2952,LARS2,"Leucyl-tRNA synthetase 2, mitochondrial"
2953,LAS1L,LAS1 like ribosome biogenesis factor
2954,LAT,Linker for activation of T cells
2955,LAT2,Linker for activation of T cells family member 2
2956,LBR,Lamin B receptor
2957,LBX1,Ladybird homeobox 1
2958,LCA5,Lebercilin LCA5
2959,LCAT,Lecithin-cholesterol acyltransferase
2960,LCP1,Lymphocyte cytosolic protein 1
2961,LCP2,Lymphocyte cytosolic protein 2
2962,LCT,Lactase
2963,LDB3,LIM domain binding 3
2964,LDHD,Lactate dehydrogenase D
2965,LDLR,Low density lipoprotein receptor
2966,LDLRAP1,Low density lipoprotein receptor adaptor protein 1
2967,LEFTY2,Left-right determination factor 2
2968,LEMD2,LEM domain nuclear envelope protein 2
2969,LEMD3,LEM domain containing 3
2970,LEP,Leptin
2971,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
2972,LGI1,Leucine rich glioma inactivated 1
2973,LGI4,Leucine rich repeat LGI family member 4
2974,LGR4,Leucine rich repeat containing G protein-coupled receptor 4
2975,LHB,Luteinizing hormone subunit beta
2976,LHFPL5,LHFPL tetraspan subfamily member 5
2977,LHFPL6,LHFPL tetraspan subfamily member 6
2978,LHX3,LIM homeobox 3
2979,LHX4,LIM homeobox 4
2980,LIAS,Lipoic acid synthetase
2981,LIFR,LIF receptor subunit alpha
2982,LIG1,DNA ligase 1
2983,LIG3,DNA ligase 3
2984,LIG4,DNA ligase 4
2985,LIM2,Lens intrinsic membrane protein 2
2986,LIMK1,LIM domain kinase 1
2987,LIMS2,LIM zinc finger domain containing 2
2988,LINGO1,Leucine rich repeat and Ig domain containing 1
2989,LINS1,Lines homolog 1
2990,LIPA,"Lipase A, lysosomal acid type"
2991,LIPC,"Lipase C, hepatic type"
2992,LIPE,"Lipase E, hormone sensitive type"
2993,LIPH,Lipase H
2994,LIPN,Lipase family member N
2995,LIPT1,Lipoyltransferase 1
2996,LIPT2,Lipoyl(octanoyl) transferase 2
2997,LITAF,Lipopolysaccharide induced TNF factor
2998,LMAN1,"Lectin, mannose binding 1"
2999,LMAN2L,"Lectin, mannose binding 2 like"
3000,LMBR1,Limb development membrane protein 1
3001,LMBRD1,LMBR1 domain containing 1
3002,LMBRD2,LMBR1 domain containing 2
3003,LMF1,Lipase maturation factor 1
3004,LMNA,Lamin A/C
3005,LMNB1,Lamin B1
3006,LMNB2,Lamin B2
3007,LMO1,LIM domain only 1
3008,LMO2,LIM domain only 2
3009,LMOD1,Leiomodin 1
3010,LMOD2,Leiomodin 2
3011,LMOD3,Leiomodin 3
3012,LMX1A,LIM homeobox transcription factor 1 alpha
3013,LMX1B,LIM homeobox transcription factor 1 beta
3014,LNP1,Leukemia NUP98 fusion partner 1
3015,LNPK,"Lunapark, ER junction formation factor"
3016,LONP1,"Lon peptidase 1, mitochondrial"
3017,LORICRIN,Loricrin cornified envelope precursor protein
3018,LOX,Lysyl oxidase
3019,LOXHD1,Lipoxygenase homology PLAT domains 1
3020,LOXL1,Lysyl oxidase like 1
3021,LOXL3,Lysyl oxidase like 3
3022,LPAR6,Lysophosphatidic acid receptor 6
3023,LPIN1,Lipin 1
3024,LPIN2,Lipin 2
3025,LPP,LIM domain containing preferred translocation partner in lipoma
3026,LRAT,Lecithin retinol acyltransferase
3027,LRBA,LPS responsive beige-like anchor protein
3028,LRIF1,Ligand dependent nuclear receptor interacting factor 1
3029,LRIG2,Leucine rich repeats and immunoglobulin like domains 2
3030,LRIT3,"Leucine rich repeat, Ig-like and transmembrane domains 3"
3031,LRMDA,Leucine rich melanocyte differentiation associated
3032,LRP1,LDL receptor related protein 1
3033,LRP12,LDL receptor related protein 12
3034,LRP2,LDL receptor related protein 2
3035,LRP4,LDL receptor related protein 4
3036,LRP5,LDL receptor related protein 5
3037,LRP6,LDL receptor related protein 6
3038,LRP8,LDL receptor related protein 8
3039,LRPAP1,LDL receptor related protein associated protein 1
3040,LRPPRC,Leucine rich pentatricopeptide repeat containing
3041,LRRC32,Leucine rich repeat containing 32
3042,LRRC56,Leucine rich repeat containing 56
3043,LRRC8A,Leucine rich repeat containing 8 VRAC subunit A
3044,LRRK1,Leucine rich repeat kinase 1
3045,LRRK2,Leucine rich repeat kinase 2
3046,LRSAM1,Leucine rich repeat and sterile alpha motif containing 1
3047,LRTOMT,Leucine rich transmembrane and O-methyltransferase domain containing
3048,LSM11,"LSM11, U7 small nuclear RNA associated"
3049,LSR,Lipolysis stimulated lipoprotein receptor
3050,LSS,Lanosterol synthase
3051,LTBP1,Latent transforming growth factor beta binding protein 1
3052,LTBP2,Latent transforming growth factor beta binding protein 2
3053,LTBP3,Latent transforming growth factor beta binding protein 3
3054,LTBP4,Latent transforming growth factor beta binding protein 4
3055,LTC4S,Leukotriene C4 synthase
3056,LTK,Leukocyte receptor tyrosine kinase
3057,LYL1,LYL1 basic helix-loop-helix family member
3058,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
3059,LYRM1,LYR motif containing 1
3060,LYRM4,LYR motif containing 4
3061,LYRM7,LYR motif containing 7
3062,LYST,Lysosomal trafficking regulator
3063,LYZ,Lysozyme
3064,LZTFL1,Leucine zipper transcription factor like 1
3065,LZTR1,Leucine zipper like transcription regulator 1
3066,LZTS1,Leucine zipper tumor suppressor 1
3067,M1AP,Meiosis 1 associated protein
3068,MAB21L1,Mab-21 like 1
3069,MAB21L2,Mab-21 like 2
3070,MACF1,Microtubule actin crosslinking factor 1
3071,MACROD1,Mono-ADP ribosylhydrolase 1
3072,MAD1L1,Mitotic arrest deficient 1 like 1
3073,MAD2L2,Mitotic arrest deficient 2 like 2
3074,MADD,MAP kinase activating death domain
3075,MAF,MAF bZIP transcription factor
3076,MAFA,MAF bZIP transcription factor A
3077,MAFB,MAF bZIP transcription factor B
3078,MAG,Myelin associated glycoprotein
3079,MAGED2,MAGE family member D2
3080,MAGEL2,MAGE family member L2
3081,MAGI2,"Membrane associated guanylate kinase, WW and PDZ domain containing 2"
3082,MAGT1,Magnesium transporter 1
3083,MAK,Male germ cell associated kinase
3084,MALT1,MALT1 paracaspase
3085,MAML2,Mastermind like transcriptional coactivator 2
3086,MAMLD1,Mastermind like domain containing 1
3087,MAN1B1,Mannosidase alpha class 1B member 1
3088,MAN2B1,Mannosidase alpha class 2B member 1
3089,MAN2C1,Mannosidase alpha class 2C member 1
3090,MANBA,Mannosidase beta
3091,MAP1B,Microtubule associated protein 1B
3092,MAP2K3,Mitogen-activated protein kinase kinase 3
3093,MAP3K20,Mitogen-activated protein kinase kinase kinase 20
3094,MAP3K7,Mitogen-activated protein kinase kinase kinase 7
3095,MAP3K9,Mitogen-activated protein kinase kinase kinase 9
3096,MAPK10,Mitogen-activated protein kinase 10
3097,MAPK12,Mitogen-activated protein kinase 12
3098,MAPK8IP1,Mitogen-activated protein kinase 8 interacting protein 1
3099,MAPK8IP3,Mitogen-activated protein kinase 8 interacting protein 3
3100,MAPKAPK3,MAPK activated protein kinase 3
3101,MAPKAPK5,MAPK activated protein kinase 5
3102,MAPKBP1,Mitogen-activated protein kinase binding protein 1
3103,MAPRE2,Microtubule associated protein RP/EB family member 2
3104,MARCHF6,Membrane associated ring-CH-type finger 6
3105,MARK1,Microtubule affinity regulating kinase 1
3106,MARK3,Microtubule affinity regulating kinase 3
3107,MARS1,Methionyl-tRNA synthetase 1
3108,MARS2,"Methionyl-tRNA synthetase 2, mitochondrial"
3109,MARVELD2,MARVEL domain containing 2
3110,MAS1,"MAS1 proto-oncogene, G protein-coupled receptor"
3111,MASP1,MBL associated serine protease 1
3112,MASP2,MBL associated serine protease 2
3113,MAST1,Microtubule associated serine/threonine kinase 1
3114,MASTL,Microtubule associated serine/threonine kinase like
3115,MAT1A,Methionine adenosyltransferase 1A
3116,MATN3,Matrilin 3
3117,MATR3,Matrin 3
3118,MAX,MYC associated factor X
3119,MBD4,"Methyl-CpG binding domain 4, DNA glycosylase"
3120,MBD5,Methyl-CpG binding domain protein 5
3121,MBNL1,Muscleblind like splicing regulator 1
3122,MBOAT7,Membrane bound O-acyltransferase domain containing 7
3123,MBP,Myelin basic protein
3124,MBTD1,Mbt domain containing 1
3125,MBTPS1,"Membrane bound transcription factor peptidase, site 1"
3126,MBTPS2,"Membrane bound transcription factor peptidase, site 2"
3127,MCCC1,Methylcrotonyl-CoA carboxylase subunit 1
3128,MCCC2,Methylcrotonyl-CoA carboxylase subunit 2
3129,MCEE,Methylmalonyl-CoA epimerase
3130,MCF2,MCF.2 cell line derived transforming sequence
3131,MCF2L2,MCF.2 cell line derived transforming sequence-like 2
3132,MCFD2,"Multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"
3133,MCIDAS,Multiciliate differentiation and DNA synthesis associated cell cycle protein
3134,MCM10,Minichromosome maintenance 10 replication initiation factor
3135,MCM2,Minichromosome maintenance complex component 2
3136,MCM3AP,Minichromosome maintenance complex component 3 associated protein
3137,MCM4,Minichromosome maintenance complex component 4
3138,MCM5,Minichromosome maintenance complex component 5
3139,MCM8,Minichromosome maintenance 8 homologous recombination repair factor
3140,MCM9,Minichromosome maintenance 9 homologous recombination repair factor
3141,MCOLN1,Mucolipin TRP cation channel 1
3142,MCPH1,Microcephalin 1
3143,MCTP2,Multiple C2 and transmembrane domain containing 2
3144,MDFIC,MyoD family inhibitor domain containing
3145,MDH1,Malate dehydrogenase 1
3146,MDM2,MDM2 proto-oncogene
3147,MDM4,MDM4 regulator of p53
3148,MEAF6,MYST/Esa1 associated factor 6
3149,MECOM,MDS1 and EVI1 complex locus
3150,MECP2,Methyl-CpG binding protein 2
3151,MECR,Mitochondrial trans-2-enoyl-CoA reductase
3152,MED12,Mediator complex subunit 12
3153,MED12L,Mediator complex subunit 12L
3154,MED13,Mediator complex subunit 13
3155,MED13L,Mediator complex subunit 13L
3156,MED17,Mediator complex subunit 17
3157,MED23,Mediator complex subunit 23
3158,MED25,Mediator complex subunit 25
3159,MED27,Mediator complex subunit 27
3160,MEF2A,Myocyte enhancer factor 2A
3161,MEF2C,Myocyte enhancer factor 2C
3162,MEFV,"MEFV innate immuity regulator, pyrin"
3163,MEGF10,Multiple EGF like domains 10
3164,MEGF8,Multiple EGF like domains 8
3165,MEI1,Meiotic double-stranded break formation protein 1
3166,MEIOB,Meiosis specific with OB-fold
3167,MEIS2,Meis homeobox 2
3168,MELK,Maternal embryonic leucine zipper kinase
3169,MEN1,Menin 1
3170,MEOX1,Mesenchyme homeobox 1
3171,MERTK,"MER proto-oncogene, tyrosine kinase"
3172,MESD,Mesoderm development LRP chaperone
3173,MESP2,Mesoderm posterior bHLH transcription factor 2
3174,METTL13,"Methyltransferase 13, eEF1A lysine and N-terminal methyltransferase"
3175,METTL23,Methyltransferase like 23
3176,METTL27,Methyltransferase like 27
3177,METTL5,"Methyltransferase 5, N6-adenosine"
3178,MEX3C,Mex-3 RNA binding family member C
3179,MFAP5,Microfibril associated protein 5
3180,MFF,Mitochondrial fission factor
3181,MFHAS1,Multifunctional ROCO family signaling regulator 1
3182,MFN2,Mitofusin 2
3183,MFRP,Membrane frizzled-related protein
3184,MFSD2A,Major facilitator superfamily domain containing 2A
3185,MFSD8,Major facilitator superfamily domain containing 8
3186,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
3187,MGME1,Mitochondrial genome maintenance exonuclease 1
3188,MGP,Matrix Gla protein
3189,MIA2,MIA SH3 domain ER export factor 2
3190,MIA3,MIA SH3 domain ER export factor 3
3191,MIB1,MIB E3 ubiquitin protein ligase 1
3192,MICB,MHC class I polypeptide-related sequence B
3193,MICOS13,Mitochondrial contact site and cristae organizing system subunit 13
3194,MICU1,Mitochondrial calcium uptake 1
3195,MID1,Midline 1
3196,MID2,Midline 2
3197,MIEF2,Mitochondrial elongation factor 2
3198,MIF,Macrophage migration inhibitory factor
3199,MINPP1,Multiple inositol-polyphosphate phosphatase 1
3200,MIP,Major intrinsic protein of lens fiber
3201,MIPEP,Mitochondrial intermediate peptidase
3202,MIPOL1,Mirror-image polydactyly 1
3203,MITF,Melanocyte inducing transcription factor
3204,MKKS,MKKS centrosomal shuttling protein
3205,MKRN3,Makorin ring finger protein 3
3206,MKS1,MKS transition zone complex subunit 1
3207,MLC1,Modulator of VRAC current 1
3208,MLF1,Myeloid leukemia factor 1
3209,MLH1,MutL homolog 1
3210,MLH3,MutL homolog 3
3211,MLIP,Muscular LMNA interacting protein
3212,MLLT1,MLLT1 super elongation complex subunit
3213,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor
3214,MLLT11,MLLT11 transcription factor 7 cofactor
